Author
Suzanne Collins
George Orwell
Lois Lowry
Veronica Roth
Aldous Huxley
Ray Bradbury
Margaret Atwood
George Orwell
William Golding
Orson Scott Card
Cormac McCarthy
James Dashner
Stephen King
Scott Westerfeld
Lauren Oliver
Ally Condie
Alan Moore
Neal Shusterman
Kazuo Ishiguro
Margaret Atwood
Ernest Cline
Max Brooks
Marie Lu
Philip K. Dick
Alan Moore
Jeanne DuPrau
Kurt Vonnegut Jr.
Hugh Howey
H.G. Wells
Marissa Meyer
Richard Matheson
Koushun Takami
Kiera Cass
Ayn Rand
Yevgeny Zamyatin
Stephen King
Justin Cronin
Susan Beth Pfeffer
Patrick Ness
Tahereh Mafi
Anthony Burgess
Stephenie Meyer
José Saramago
Michael  Grant
Kurt Vonnegut Jr.
Walter M. Miller Jr.
Rick Yancey
William Gibson
Neal Stephenson
Lauren DeStefano
P.D. James
Ayn Rand
Richard Bachman
Susan Ee
Nancy Farmer
Franz Kafka
Beth Revis
John Wyndham
Ursula K. Le Guin
Carrie Ryan
Philip K. Dick
Octavia E. Butler
Veronica Rossi
Emily St. John Mandel
M.T. Anderson
Pierce Brown
Ann Aguirre
John Wyndham
Thomas More
Pat Frank
Ray Bradbury
Robert R. McCammon
David Brin
Nevil Shute
Alexandra Bracken
Joe Haldeman
Richard Bachman
Catherine Fisher
Neal Stephenson
Moira Young
Jasper Fforde
Philip K. Dick
Stephen King
Pierre Boulle
Caragh M. O'Brien
Paolo Bacigalupi
Larry Niven
Richard Matheson
George R. Stewart
Mya Robarts
Kurt Vonnegut Jr.
Robert A. Heinlein
William F. Nolan
Mira Grant
Sheri S. Tepper
Paolo Bacigalupi
David Mitchell
M.R. Carey
Dean F. Wilson
Eoin Colfer
Maria V. Snyder
Mary E. Pearson
Aldous Huxley
Dan Wells
James Hilton
Peter Heller
Kia Carrington-Russell
H.G. Wells
Jean Hegland
Arthur C. Clarke
H.G. Wells
John Marsden
William R. Forstchen
Margaret Peterson Haddix
Philip K. Dick
Isaac Asimov
سید مرتضی مصطفوی
Ira Levin
Brian K. Vaughan
Dmitry Glukhovsky
Charlotte Perkins Gilman
Victoria Aveyard
